timestamp,rpc_rtt(us),rpc_ff_rtt(us)
1667848910.0708694,4.33925,4.25475
1667852381.419688,4.35372,4.15713
1667859866.2777386,4.37812,4.2813300000000005
1667863009.4556696,4.38773,4.26805
1667867024.1447847,4.36245,4.2633800000000015
1667871320.3216145,4.40527,4.29314
1667874027.4445994,4.34825,4.278919999999999
1667877500.186635,4.32501,4.18735
1667881795.0146315,4.3822199999999984,4.2508300000000006
1667884622.8224695,4.375369999999998,4.3052
1667888293.6137214,4.35565,4.28496
1667891797.9955974,4.32154,4.26222
1667895607.4428456,4.39141,4.3136800000000015
1667898887.550762,4.33904,4.22772
1667902505.7702336,4.39823,4.30318
1667906092.211349,4.36221,4.27072
1667909732.4603643,4.37739,4.2669999999999995
1667913234.430094,4.433,4.30794
1667916840.5052073,4.37425,4.310219999999998
1667920454.7740335,4.39778,4.32506
1667924083.9683301,4.3887800000000015,4.30846
1667927806.962958,4.34258,4.23502
1667931283.5456214,4.389469999999998,4.28027
1667934999.43966,4.34232,4.2694800000000015
1667938525.07733,4.3785,4.56262
1667942120.4102411,4.361269999999998,4.19591
1667945774.376548,4.36385,4.27314
1667949537.908124,4.3695,4.31583
1667953365.5977125,4.3441800000000015,4.27069
1667956674.1810849,4.36515,4.26246
1667960264.5307858,4.339169999999998,4.20432
1667963797.4886973,4.362430000000002,4.29826
1667967293.775788,4.33646,4.28488
1667970909.6005335,4.35644,4.19803
1667974787.8846235,4.30796,4.20096
1667978129.5450294,4.39795,4.30344
1667981777.7338462,4.31191,4.26288
1667985334.3217936,4.3418800000000015,4.27545
1667989025.6925461,4.35254,4.29667
1667992590.1369195,4.35505,4.22945
1667996143.9054134,4.34255,4.27126
1667999795.348527,4.3667,4.2764
1668003732.9811642,4.3430599999999995,4.2618
1668006954.9536994,4.37069,4.30639
1668010581.5138967,4.40172,4.2740300000000016
1668014151.497924,4.3334199999999985,4.25064
1668017825.577335,4.32799,4.26814
1668021464.9780052,4.35976,4.27802
1668025242.5378375,4.32068,4.22264
1668028473.157258,4.36088,4.28825
1668032453.5384974,4.34017,4.23309
1668035733.052539,4.34999,4.2495
1668039420.5314016,4.40952,4.26013
1668042896.5186627,4.382,4.22398
1668046482.9901266,4.38595,4.25213
1668050106.2248778,4.31958,4.24567
1668053657.2222335,4.35297,4.26127
1668057270.9766407,4.85721,4.53188
1668061100.4059858,4.3254,4.2201699999999995
1668064606.662117,4.3522300000000005,4.28017
1668068111.0094886,4.3686300000000005,4.24949
1668071711.04695,4.33563,4.25293
1668075390.7571564,4.39422,4.3091300000000015
1668078954.1136243,4.34584,4.24864
1668082445.8627276,4.35836,4.32511
1668086049.3137758,4.39534,4.29714
1668089686.3658447,4.33901,4.2594
1668093343.9369028,4.35981,4.23511
1668097063.9730492,4.5008,4.228619999999999
1668100768.8298678,4.3902,4.26523
1668105006.7106664,4.412669999999999,4.3383199999999995
1668108561.0380425,4.38284,4.32223
1668111298.1819232,4.36097,4.27726
1668114936.2121856,4.3319800000000015,4.20925
1668118484.2325704,4.31862,4.23796
1668122197.1903415,4.32986,4.2629
1668125764.9508042,4.34002,4.28391
1668129246.332956,4.37165,4.24651
1668132838.6943355,4.35706,4.3041800000000014
1668136496.3687544,4.33823,4.24717
1668140318.4429667,4.32527,4.2870300000000015
1668143897.5463624,4.442069999999998,4.2346900000000005
1668147407.3746338,4.32132,4.22666
1668150896.4204276,4.34279,4.25076
1668154608.9324055,4.48635,4.289
1668158191.3174932,4.35274,4.26888
1668161875.644615,4.33892,4.2787
1668165273.1679199,4.33626,4.27037
1668168845.1236124,4.39352,4.2526
1668172453.6699634,4.37329,4.2201
1668176089.0650144,4.3735,4.2522400000000005
1668179687.6883163,4.40517,4.2762400000000005
1668183341.8807714,4.32165,4.24792
1668186920.5113444,4.48855,4.2698
1668190459.3836408,4.6204,4.28568
1668287734.1719596,4.3079,4.22789
1668291245.1440446,4.35184,4.24545
1668294905.393242,4.37041,4.31067
1668298451.3432686,4.35465,4.34174
1668302177.5362802,4.34695,4.26829
1668305714.857385,4.43648,4.30671
1668309253.1010942,4.31493,4.21464
1668312903.6258662,4.3120400000000005,4.2369900000000005
1668316533.4094546,4.33609,4.23661
1668320092.8492866,4.34999,4.26498
1668323730.8829198,4.33576,4.24224
1668327258.088982,4.35276,4.24713
1668330904.9891279,4.67575,4.26574
1668334472.6610608,4.3486400000000005,4.37608
1668338069.1845038,4.36695,4.26703
1668341683.0084126,4.78749,4.25444
1668345330.7022116,4.35795,4.25927
1668348875.5725071,4.34411,4.31249
1668352570.3856282,4.320880000000002,4.23698
1668356099.9943948,4.362430000000002,4.29387
1668359741.5460045,5.76006,4.47996
1668364601.5777588,5.76017,5.76011
1668368201.6008675,5.76021,5.76012
1668375371.4374886,5.76039,5.75976
1668378977.6035318,5.76096,5.11992
1668382645.6494462,5.76057,5.76063
1668386254.4343755,5.75994,5.76052
1668389787.1551573,5.76058,5.75982
1668393398.4623494,5.75742,4.48055
1668396974.4057605,5.76029,5.75992
1668400588.4087527,5.75992,5.76031
1668404163.5653696,5.76018,5.7603300000000015
1668407803.7250414,5.76041,5.76061
1668411448.5347242,5.7603,5.76314
1668415025.2598214,5.75981,5.76043
1668418606.4247437,5.76031,5.7602699999999984
1668422225.1548164,5.76055,5.7603800000000005
1668425819.277909,5.76007,5.7632900000000005
1668429373.3647885,5.76013,5.7635
1668432986.4028544,5.7608,5.7605
1668436562.1849618,5.76053,7.04035
1668440157.2668765,5.76075,5.75997
1668443765.516295,5.76077,5.7609900000000005
1668447350.9496775,5.7601,5.75975
1668451034.4566884,5.7601900000000015,5.76049
1668454675.956693,5.7606199999999985,5.76391
1668514452.711644,4.38708,4.2563900000000015
1668518091.8941035,4.29716,4.19351
1668521785.4868512,4.31198,4.23572
1668525498.1884801,4.38016,4.23303
1668529146.1122768,4.383380000000002,4.27691
1668532469.134882,4.33969,4.2217400000000005
1668536575.4032054,4.35289,4.2568800000000016
1668539771.4594426,4.38183,4.23379
1668543375.0908082,4.31881,4.2563699999999995
1668546987.3786213,4.31283,4.22925
1668550773.381681,4.42401,4.31123
1668554325.079285,4.35181,4.26884
1668557960.9357677,4.369669999999998,4.31514
1668561435.2496395,4.3584,4.239719999999998
1668564981.0163825,4.3716099999999996,4.29936
1668568633.8405144,4.35105,4.2777699999999985
1668572049.381855,4.36932,4.341559999999999
1668575779.5689962,4.33527,4.3209
1668579356.2404945,4.32629,4.25265
1668582895.2934668,4.32332,4.21654
1668586457.2698655,4.354369999999999,4.24228
1668589990.1764812,4.34964,4.2415
1668593665.6292768,4.35936,4.23262
1668597184.2324104,4.31534,4.20489
1668600817.2413642,4.31389,4.22804
1668604399.3046012,4.35468,4.20249
1668665645.8886895,4.37249,4.26063
1668669161.8341713,4.35806,4.27881
1668672768.7584612,4.35124,4.28746
1668676443.7903779,4.32134,4.22721
1668680016.9411714,4.65946,4.44961
1668683748.4867153,4.34398,4.24429
1668687555.3106835,4.36271,4.2843
1668691042.3664837,4.38247,4.29962
1668694595.2830913,4.31321,4.1970800000000015
1668698119.4347267,4.35622,4.26445
1668701825.9102032,4.36164,4.32718
1668705357.1882002,4.3993400000000005,4.3064
1668709364.5158296,4.33697,4.27272
1668712684.1554925,4.33555,4.26901
1668716122.0947185,4.3122,4.24186
1668719669.4350824,4.33009,4.76157
1668723526.1854534,4.3891,4.26783
1668726843.0610044,4.66097,4.33484
1668730484.013123,4.35461,4.2396400000000005
1668734054.6033466,4.3368699999999984,4.2827
1668737714.793667,4.31604,4.24391
1668741407.2838538,4.34209,4.25805
1668745043.5350096,4.33251,4.2668800000000005
1668748599.453992,4.3076300000000005,4.23105
1668752343.3952315,4.4312,4.23042
1668755703.1286724,4.35241,4.26842
1668759371.752564,4.3692,4.2687800000000005
1668762847.415452,4.4005800000000015,4.29172
1668766446.9051795,4.36611,4.27404
1668770021.9873884,4.33243,4.27974
1668773610.522959,4.38534,4.2666900000000005
1668777255.25801,4.31751,4.1764
1668780839.2684162,4.32006,4.2416599999999995
1668784448.6272807,4.32071,4.23957
1668788066.7699466,4.33045,4.279
1668792383.9599855,4.33902,4.24844
1668795487.3940382,4.34123,4.252269999999998
1668798903.375841,4.3648,4.24249
1668802452.3310244,4.39605,4.2875
1668806092.0393953,4.443969999999998,4.27056
1668809967.2905257,4.33253,4.2451099999999995
1668813285.5511384,4.34408,4.25731
1668817092.1953886,4.34732,4.25667
1668820441.8396802,4.35377,4.28903
1668824041.1890795,4.37104,4.27578
1668827611.0585413,4.32658,4.24634
1668831218.3356295,4.34115,4.25242
1668834815.3030171,4.36077,4.30745
1668838442.558945,4.33292,4.29091
1668842010.3021805,4.38927,4.33228
1668845614.7227929,4.37978,4.3002400000000005
1668849211.418697,4.31222,4.18269
1668852803.3131044,4.32217,4.243
1668856373.3130784,4.33477,5.4790300000000025
1668859973.166344,4.3608400000000005,4.255
1668863654.2549195,4.36434,4.31694
1668867242.6721096,4.36116,4.27504
1668870853.775959,4.34624,4.2435800000000015
1668874449.3431125,4.32864,4.25591
1668878052.5554256,4.61799,4.5069300000000005
1668881667.998876,4.3379400000000015,4.27494
1668885273.7874944,4.3872,4.3093
1668888869.953941,4.34494,4.28395
1668892467.0341606,4.35759,4.2257099999999985
1668896091.563641,4.33516,4.28447
1668899667.3287098,4.33376,4.23844
1668903418.2914085,4.35339,4.2214
1668906969.2481554,4.32637,4.21134
1668910479.2947526,4.40297,4.3034
1671171810.6747992,4.3320300000000005,4.26628
1671173259.2791426,4.3586,4.30857
1671175355.806224,4.36817,4.30258
1671597832.3470607,4.37671,4.26112
