timestamp,total duration (s),upcxx_version
1675640075.154795,0.001009,upcxx-2022.9.0-0-g27b0fedf
1675642415.4255445,0.00109,upcxx-2022.9.0-0-g27b0fedf
1675646039.3017585,0.001011,upcxx-2022.9.0-0-g27b0fedf
1675649584.8699472,0.001015,upcxx-2022.9.0-0-g27b0fedf
1675653213.3500054,0.001056,upcxx-2022.9.0-0-g27b0fedf
1675656803.802988,0.0010119999999999999,upcxx-2022.9.0-0-g27b0fedf
1675660388.434117,0.001014,upcxx-2022.9.0-0-g27b0fedf
1675664006.7742825,0.001006,upcxx-2022.9.0-0-g27b0fedf
1675667602.9604304,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675671309.2574186,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675674802.9650035,0.00102,upcxx-2022.9.0-0-g27b0fedf
1675678450.4268086,0.00105,upcxx-2022.9.0-0-g27b0fedf
1675681984.9263942,0.001029,upcxx-2022.9.0-0-g27b0fedf
1675685588.5484982,0.00101,upcxx-2022.9.0-0-g27b0fedf
1675689215.2499876,0.001091,upcxx-2022.9.0-0-g27b0fedf
1675692788.3928294,0.001013,upcxx-2022.9.0-0-g27b0fedf
1675696517.4125118,0.0010539999999999998,upcxx-2022.9.0-0-g27b0fedf
1675700011.600064,0.001044,upcxx-2022.9.0-0-g27b0fedf
1675703627.2805872,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675707219.445786,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675710825.30516,0.001006,upcxx-2022.9.0-0-g27b0fedf
1675714450.3932905,0.001086,upcxx-2022.9.0-0-g27b0fedf
1675717998.9150686,0.001012,upcxx-2022.9.0-0-g27b0fedf
1675721584.6516516,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675725190.9784973,0.001003,upcxx-2022.9.0-0-g27b0fedf
1675728813.8908865,0.001045,upcxx-2022.9.0-0-g27b0fedf
1675732481.6077244,0.001014,upcxx-2022.9.0-0-g27b0fedf
1675736141.3910651,0.001006,upcxx-2022.9.0-0-g27b0fedf
1675739695.6991475,0.001009,upcxx-2022.9.0-0-g27b0fedf
1675743279.2664015,0.001105,upcxx-2022.9.0-0-g27b0fedf
1675746837.7270513,0.001089,upcxx-2022.9.0-0-g27b0fedf
1675750401.2139044,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675754059.404928,0.001022,upcxx-2022.9.0-0-g27b0fedf
1675757704.8770008,0.001086,upcxx-2022.9.0-0-g27b0fedf
1675761300.8997872,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675764808.3095696,0.00101,upcxx-2022.9.0-0-g27b0fedf
1675768489.1261742,0.001066,upcxx-2022.9.0-0-g27b0fedf
1675771981.869825,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675775605.606663,0.001091,upcxx-2022.9.0-0-g27b0fedf
1675779201.9807956,0.001131,upcxx-2022.9.0-0-g27b0fedf
1675782803.247991,0.00109,upcxx-2022.9.0-0-g27b0fedf
1675786384.5811605,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675789980.1378243,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675793719.1471753,0.00109,upcxx-2022.9.0-0-g27b0fedf
1675797287.9933207,0.001091,upcxx-2022.9.0-0-g27b0fedf
1675800898.9621873,0.001004,upcxx-2022.9.0-0-g27b0fedf
1675804415.0691454,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675808002.5158591,0.001052,upcxx-2022.9.0-0-g27b0fedf
1675811625.7203107,0.001004,upcxx-2022.9.0-0-g27b0fedf
1675815249.1608233,0.001044,upcxx-2022.9.0-0-g27b0fedf
1675819352.4083548,0.001014,upcxx-2022.9.0-0-g27b0fedf
1675822662.1013858,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675826064.033247,0.001006,upcxx-2022.9.0-0-g27b0fedf
1675829868.2979295,0.001019,upcxx-2022.9.0-0-g27b0fedf
1675833234.2814193,0.001032,upcxx-2022.9.0-0-g27b0fedf
1675837260.3167346,0.001005,upcxx-2022.9.0-0-g27b0fedf
1675839531.222926,0.001004,upcxx-2022.9.0-0-g27b0fedf
